X,Y,Z
0.0,0.0,1.0
0.125,0.0,1.0
0.25,0.0,1.0
0.375,0.0,1.0
0.5,0.0,1.0
0.5,0.0,1.0
0.582,0.0,1.007
0.662,0.0,1.027
0.738,0.0,1.06
0.807,0.0,1.105
0.868,0.0,1.161
0.919,0.0,1.227
0.958,0.0,1.299
0.985,0.0,1.377
0.998,0.0,1.459
0.998,0.0,1.541
0.985,0.0,1.623
0.958,0.0,1.701
0.919,0.0,1.773
0.868,0.0,1.839
0.807,0.0,1.895
0.738,0.0,1.94
0.662,0.0,1.973
0.582,0.0,1.993
0.5,0.0,2.0
0.5,0.0,2.0
0.418,0.0,1.993
0.338,0.0,1.973
0.262,0.0,1.94
0.193,0.0,1.895
0.132,0.0,1.839
0.081,0.0,1.773
0.042,0.0,1.701
0.015,0.0,1.623
0.002,0.0,1.541
0.002,0.0,1.459
0.015,0.0,1.377
0.042,0.0,1.299
0.081,0.0,1.227
0.132,0.0,1.161
0.193,0.0,1.105
0.262,0.0,1.06
0.338,0.0,1.027
0.418,0.0,1.007
0.5,0.0,1.0
0.5,0.0,1.0
0.75,0.0,1.0
1.0,0.0,1.0
1.25,0.0,1.0
1.5,0.0,1.0
