X,Y,Z
0.0,0.0,1.0
0.25,0.0,1.0
0.5,0.0,1.0
0.75,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.082,0.007,1.0
1.162,0.027,1.0
1.238,0.06,1.0
1.307,0.105,1.0
1.368,0.161,1.0
1.419,0.227,1.0
1.458,0.299,1.0
1.485,0.377,1.0
1.498,0.459,1.0
1.498,0.541,1.0
1.485,0.623,1.0
1.458,0.701,1.0
1.419,0.773,1.0
1.368,0.839,1.0
1.307,0.895,1.0
1.238,0.94,1.0
1.162,0.973,1.0
1.082,0.993,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.75,1.0,1.0
0.5,1.0,1.0
0.25,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
-0.082,0.993,1.0
-0.162,0.973,1.0
-0.238,0.94,1.0
-0.307,0.895,1.0
-0.368,0.839,1.0
-0.419,0.773,1.0
-0.458,0.701,1.0
-0.485,0.623,1.0
-0.498,0.541,1.0
-0.498,0.459,1.0
-0.485,0.377,1.0
-0.458,0.299,1.0
-0.419,0.227,1.0
-0.368,0.161,1.0
-0.307,0.105,1.0
-0.238,0.06,1.0
-0.162,0.027,1.0
-0.082,0.007,1.0
-0.0,0.0,1.0
